KEup,KEdown
"Thyroid hormone synthesis, Decreased"," Thyroxine (T4) in serum, Decreased"
"Thyroperoxidase, Inhibition"," Thyroxine (T4) in serum, Decreased"
"Thyroperoxidase, Inhibition","Thyroid hormone synthesis, Decreased"
"Thyroxine (T4) in neuronal tissue, Decreased ","Hippocampal gene expression, Altered "
" Thyroxine (T4) in serum, Decreased","Cognitive Function, Decreased "
" Thyroxine (T4) in serum, Decreased","Thyroxine (T4) in neuronal tissue, Decreased "
" Thyroxine (T4) in serum, Decreased","Hippocampal Physiology, Altered"
" Thyroxine (T4) in serum, Decreased","Hippocampal gene expression, Altered "
" Thyroxine (T4) in serum, Decreased","Hippocampal anatomy, Altered "
"Hippocampal gene expression, Altered ","Hippocampal anatomy, Altered "
"Hippocampal anatomy, Altered ","Hippocampal Physiology, Altered"
"Hippocampal Physiology, Altered","Cognitive Function, Decreased "
"Inhibition, Na+/I- symporter (NIS)",Decrease of Thyroidal iodide
Decrease of Thyroidal iodide,"Thyroid hormone synthesis, Decreased"
Release of G Proteins,Inhibition of N-type Ca ion channels
Inhibition of N-type Ca ion channels,Inhibition of neurotransmitter vesicle release
Inhibition of neurotransmitter vesicle release,Anti-depressant Activity
Serotonin 1A Receptor Agonism,Release of G Proteins
Acetylcholinesterase (AchE) Inhibition,Acetylcholine accumulation in synapses
"Increased, Intracellular Calcium overload",Cell injury/death
Acetylcholine accumulation in synapses,"Activation, Muscarinic Acetylcholine Receptors"
"Increased, glutamate","Overactivation, NMDARs"
"Activation, Muscarinic Acetylcholine Receptors","Occurrence, Focal Seizure"
"Occurrence, Focal Seizure","Increased, glutamate"
Status epilepticus,"Increased, glutamate"
Status epilepticus,"Increased, Intracellular Calcium overload"
"Overactivation, NMDARs","Increased, Intracellular Calcium overload"
"Overactivation, NMDARs",Status epilepticus
Cell injury/death,"N/A, Neurodegeneration"
Loss of drebrin,Synaptic dysfunction
"Increased, Intracellular Calcium overload",Loss of drebrin
Decrease of neuronal network function,"Impairment, Learning and memory"
"Overactivation, NMDARs",Loss of drebrin
"Binding of agonist, Ionotropic glutamate receptors","Overactivation, NMDARs"
Synaptic dysfunction,Decrease of neuronal network function
Synaptic dysfunction,"Impairment, Learning and memory"
"Thyroid hormone synthesis, Decreased",Reduced levels of BDNF
"Thyroid hormone synthesis, Decreased",Decrease of GABAergic interneurons
"Thyroid hormone synthesis, Decreased","Impairment, Learning and memory"
"Thyroxine (T4) in neuronal tissue, Decreased ",Reduced levels of BDNF
Reduced levels of BDNF,Decrease of GABAergic interneurons
Reduced levels of BDNF,Decrease of synaptogenesis
Reduced levels of BDNF,"Impairment, Learning and memory"
Decrease of synaptogenesis,Decrease of neuronal network function
"Inhibition, Na+/I- symporter (NIS)","Impairment, Learning and memory"
Decrease of GABAergic interneurons,Decrease of synaptogenesis
Increased Mortality,"Decreased, population 1"
"Activation, Glutamate-gated chloride channel","Increased, Chloride conductance"
"Increased, Chloride conductance","hyperpolarisation, neuron"
"hyperpolarisation, neuron","N/A, Ataxia, paralysis, or hyperactivity"
"N/A, Ataxia, paralysis, or hyperactivity",Increased Mortality
"Increased, intracellular sodium (Na+)","Activated, voltage-gated sodium channel"
"Increased, intracellular chloride (Cl-)","Inactive, membrane depolarization"
"Increase, seizure","Increased, epilepsy"
"Activated, presynaptic neuron 1","Increased, glutamate"
"Increased, glutamate","Activated, NMDA receptor"
"Activated, NMDA receptor","Increased, intracellular sodium (Na+)"
"Activated, voltage-gated sodium channel","Activated, membrane depolarization"
"Treat, carbamazepine",Binding to voltage-gated sodium channel
"Activated, membrane depolarization","Increased, hippocampal hyperdepolarization"
"Increased, RDX dose","Activate, GABA-A receptor"
"Activate, GABA-A receptor","Increased, intracellular chloride (Cl-)"
"Activate, presynaptic neuron 2","Increase, GABA"
"Increase, GABA","Activate, GABA-A receptor"
"Increased, hippocampal hyperdepolarization","Increase, seizure"
Binding to ACE2,Neuroinflammation
"N/A, Neurodegeneration",Encephalitis
Neuroinflammation,Encephalitis
Neuroinflammation,"N/A, Neurodegeneration"
Acetylcholine accumulation in synapses,Increased Cholinergic Signaling
Decrease of neuronal network function,"Cognitive Function, Decreased "
Increased Cholinergic Signaling,Decrease of neuronal network function
Increased Cholinergic Signaling,"Cognitive Function, Decreased "
Histone deacetylase inhibition,Neural tube defects
Reduced complex sphingolipids,Affected folate transporter
Inhibition of Ceramide Synthase ,Reduced complex sphingolipids
Inhibition of Ceramide Synthase ,Increased sphingolipid-1-phosphate
Affected folate transporter,decreased folate uptake
decreased folate uptake,Neural tube defects
Increased sphingolipid-1-phosphate,Histone deacetylase inhibition
Acetylcholinesterase (AchE) Inhibition,Impaired coordination and movement
