KEup,KEdown
Inhibition of mitochondrial DNA polymerase gamma (Pol gamma),"Depletion, mtDNA "
"Depletion, mtDNA ","Dysfunction, Mitochondria "
"Dysfunction, Mitochondria ","Increase, Cytotoxicity (renal tubular cell)"
"Increase, Cytotoxicity (renal tubular cell)","Occurrence, Kidney toxicity"
"Increased, Oxidative Stress","Occurrence, renal proximal tubular necrosis"
"Occurrence, renal proximal tubular necrosis","Increased, blood potassium concentration"
"Increased, blood potassium concentration","Occurrence, cardiac arrhythmia"
"Occurrence, cardiac arrhythmia",Increased Mortality
"Unknown, MIE","Increased, Reactive oxygen species"
"Increased, Reactive oxygen species","Increased, Oxidative Stress"
"Increased, Accumulation of alpha2u microglobulin (proximal tubular epithelium)","Increase, Cytotoxicity (renal tubular cell)"
"Increase, Cytotoxicity (renal tubular cell)","Increase, Regenerative cell proliferation (tubular epithelial cells)"
"Increase, Regenerative cell proliferation (tubular epithelial cells)","Increase, Hyperplasia (renal tubular cells)"
"Increased, Binding of chemicals to 2u (serum)","Increased, Accumulation of alpha2u microglobulin (proximal tubular epithelium)"
"Increase, Hyperplasia (renal tubular cells)","Increase, Adenomas/carcinomas (renal tubular)"
"Inhibition, Mitochondrial Electron Transport Chain Complexes","Increase, Oxidative Stress"
"Increase, Mitochondrial Dysfunction","Increase, Cytotoxicity (renal tubular cell)"
"Increase, Oxidative Stress","Increase, Mitochondrial Dysfunction"
"Binding of substrate, endocytic receptor","Disturbance, Lysosomal function"
"Disturbance, Lysosomal function","Disruption, Lysosome"
"Disruption, Lysosome","Increase, Cytotoxicity (renal tubular cell)"
"Increased, Reactive oxygen species",Increased Sodium-sensitive hypertension
Increased Angiotensin II ,Increased Ang II type 1 receptor (AT1R)
Increased Ang II type 1 receptor (AT1R),"Increased, Reactive oxygen species"
Hyperactivation of ACE/Ang-II/AT1R axis,Increased Angiotensin II 
Increased Sodium-sensitive hypertension,Chronic kidney disease
"Increased, Reactive oxygen species","Increased, Lipid peroxidation"
"Increased, Lipid peroxidation","Increase, Necrosis"
"Increased, Kidney Failure",Increased Mortality
"Oxidation, Glutathione (To be considered with MIE)","Increased, Reactive oxygen species"
"Increase, Necrosis","Increased, Kidney Failure"
"Thyroid hormone synthesis, Decreased","Increased, Serum creatinine"
"Thyroid hormone synthesis, Decreased"," Thyroxine (T4) in serum, Decreased"
" Thyroxine (T4) in serum, Decreased","Occurrence, Cystic dilatation (renal tubule)"
" Thyroxine (T4) in serum, Decreased","Occurrence, Cytoplasmic vacuolization (Renal tubule)"
" Thyroxine (T4) in serum, Decreased","Occurrence, Cytoplasmic vacuolization (podocyte)"
"Increased, Serum creatinine","Occurrence, Cytoplasmic vacuolization (Renal tubule)"
"Increased, Serum creatinine","Occurrence, Cytoplasmic vacuolization (podocyte)"
"Increased, Serum creatinine","Occurrence, Cystic dilatation (renal tubule)"
"Occurrence, Cytoplasmic vacuolization (Renal tubule)","Decreased, Sodium reabsorption"
"Occurrence, Cytoplasmic vacuolization (Renal tubule)","Decreased, Renal plasma flow"
"Occurrence, Cytoplasmic vacuolization (Renal tubule)","Decreased, Renal ability to dilute urine"
