MIEtitle	StressorNames	Chemicals
Activation, PXR/SXR		
Activation, Androgen receptor		
Increase, Cytotoxicity (hepatocytes)		
Inhibition, Fatty Acid Beta Oxidation		
Activation, Glucocorticoid Receptor		
Formation, Pro-mutagenic DNA Adducts		
Inhibition, Phospholipase A		
NFE2/Nrf2 repression	NFE2/Nrf2 repression	
Endocytotic lysosomal uptake	3-aminopropanal | Chloroquine bis(phosphate) | Ciprofloxacin | Norfloxacin | ROS | artesunate | nanoparticles | o-methyl-serine dodecylamide hydrochloride (MSDH)	https://identifiers.org/cas/50-63-5 | https://identifiers.org/cas/70458-96-7 | https://identifiers.org/cas/85721-33-1 | https://identifiers.org/cas/88495-63-0
Induced dysregulation of ACE2 		
Activation, NRF2		
Activation, NR1H4		
Activation, AhR		
ROS formation		
Activation, PARP1		
Alkylation, Protein	Allyl Alcohol | Carbon tetrachloride | Dimethyl nitrosamine | Retinol | Thioacetamide	https://identifiers.org/cas/107-18-6 | https://identifiers.org/cas/56-23-5 | https://identifiers.org/cas/62-55-5 | https://identifiers.org/cas/62-75-9 | https://identifiers.org/cas/68-26-8
Inhibition, IKK complex		
Inhibition of N-linked glycosylation		
Decreased, PPAR-beta activation		
Decreased, PPAR-alpha activation		
Decreased, PPAR-gamma activation		
benzoquinone imine and acylglucuronide metabolites		
systemic inflammation leading to hepatic steatosis		
Inhibition, Pyruvate dehydrogenase kinase (PDK) enzyme		
Increase, Mitochondrial complex III antagonism		
Inhibition, NADH-ubiquinone oxidoreductase  (complex I)		
Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)		
Binding of inhibitor to mitochondrial complex V		
Mitochondrial Complex V inhibition		
Binding of inhibitor to mitochondrial complex IV		
Mitochondrial Complex IV inhibition		
Binding of inhibitor to mitochondrial complex III		
Inhibition, Bile Salt Export Pump (ABCB11)		
Activation, Long term AHR receptor driven direct and indirect gene expression changes		
Activation, Constitutive androstane receptor	Phenobarbital | TCPOBOP | metofluthrin	https://identifiers.org/cas/240494-70-6 | https://identifiers.org/cas/50-06-6
protein-coupled estrogen receptor 1 (GPER) activation	Triphenyl phosphate	https://identifiers.org/cas/115-86-6
Activation of Cyp2E1	>85 known Cyp2E1 substrates	
Activation, PPARα	Bezafibrate | Bis(2-ethylhexyl) phthalate | Clofibrate | Fenofibrate | Gemfibrozil | Nafenopin | PERFLUOROOCTANOIC ACID | ciprofibrate | pirinixic acid	https://identifiers.org/cas/117-81-7 | https://identifiers.org/cas/25812-30-0 | https://identifiers.org/cas/3771-19-5 | https://identifiers.org/cas/41859-67-0 | https://identifiers.org/cas/49562-28-9 | https://identifiers.org/cas/50892-23-4 | https://identifiers.org/cas/52214-84-3 | https://identifiers.org/cas/637-07-0
N/A, Unknown		
Suppression, Constitutive androstane receptor, NR1l3		
Activation, LXR		
Inhibition, PPAR alpha		
peroxisome proliferator activated receptor promoter demethylation		
Activation, LXR		
peroxisome proliferator activated receptor promoter demethylation		
