KEup,KEdown
"Up Regulation, CD36","Increased, FA Influx"
"Decreased, Mitochondrial fatty acid beta-oxidation","Accumulation, Fatty acid"
"Activation, PXR/SXR","Up Regulation, CD36"
"Activation, PXR/SXR","Inhibition, FoxA2"
"Activation, PXR/SXR","Up Regulation, SCD-1"
"Accumulation, Fatty acid","Increased, Liver Steatosis"
"Increased, Triglyceride formation","Increased, Liver Steatosis"
"Up Regulation, SCD-1","Increased, Triglyceride formation"
"Increased, FA Influx","Increased, Triglyceride formation"
"Increased, FA Influx","Accumulation, Fatty acid"
"Inhibition, FoxA2","Down Regulation, CPT1A"
"Inhibition, FoxA2","Down Regulation, HMGCS2"
"Down Regulation, CPT1A","Decreased, Mitochondrial fatty acid beta-oxidation"
"Down Regulation, HMGCS2","Decreased, Ketogenesis"
"Decreased, Ketogenesis","Accumulation, Fatty acid"
"Activation, PPARα","Activation, LXR alpha"
"Inhibition, Mitochondrial fatty acid beta-oxidation","Increased, Liver Steatosis"
"Increased, De Novo FA synthesis","Increased, Liver Steatosis"
"Activation, NRF2","Activation, NR1H4"
"Activation, NR1H4","Activation, PPARα"
"Activation, NR1H4","Activation, SHP"
"Activation, SHP","Inhibition, SREBP1c"
"Decreased, DHB4/HSD17B4","Inhibition, Mitochondrial fatty acid beta-oxidation"
"Activation, LXR alpha","Increased, De Novo FA synthesis"
"N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects","Alterations, Cellular proliferation / hyperplasia"
"Activation, Long term AHR receptor driven direct and indirect gene expression changes","Formation, Hepatocellular and Bile duct tumors"
"Activation, Long term AHR receptor driven direct and indirect gene expression changes","N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects"
"Activation, Long term AHR receptor driven direct and indirect gene expression changes","Alterations, Cellular proliferation / hyperplasia"
"Activation, Long term AHR receptor driven direct and indirect gene expression changes","Changes/Inhibition, Cellular Homeostasis and Apoptosis"
"Changes/Inhibition, Cellular Homeostasis and Apoptosis","N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects"
"Alterations, Cellular proliferation / hyperplasia","Formation, Hepatocellular and Bile duct tumors"
"Hyperplasia, Hyperplasia","Promotion, Hepatocelluar carcinoma"
"N/A, Unknown","Proliferation, Cell proliferation in the absence of cytotoxicity"
"Proliferation, Cell proliferation in the absence of cytotoxicity","Hyperplasia, Hyperplasia"
"Increased, Reactive oxygen species","Increased, Oncotic Necrosis"
"Increase, cytosolic fatty acid","Increased, Liver Steatosis"
"Inhibition, Fatty Acid Beta Oxidation","Increase, cytosolic fatty acid"
"Increased, Oncotic Necrosis","N/A, Steatohepatisis"
"Increased, Liver Steatosis","Increased, Reactive oxygen species"
